date,position_x,position_y,weight,name
2016-01-26,44,8.100000,5,宝盈基金专户连环爆仓始末：杠杆打新 重仓股票 死于熔断
2016-01-27,45,9.300000,5,触发“熔断” 今年首次油价调整料搁浅
2016-01-28,46,4.400000,4,今年油价首次搁浅 国内成品油进入熔断时代
2016-02-05,54,8.100000,4,美国股市是如何实行熔断机制的
2016-02-10,59,7.200000,5,一名客户经理的熔断时间：全部家当近半被套
2016-02-12,61,0.700000,6,韩国KOSDAQ创业板大跌8.2%触发熔断
2016-02-13,62,3.400000,4,纽交所提议调整熔断机制的触发方式 延长停牌时间
2016-02-14,63,7.900000,4,韩国股市熔断休市A股受惊 开年买啥
2016-02-18,67,1.700000,6,首度熔断后建言客户赎回 “最有良心”基金经理被处罚
2016-02-20,69,8.800000,4,別了熔断先生！ 进入刘士余年代的A股会怎么样？
2016-02-21,70,1.700000,6,从钢铁侠变成白头翁 你们会怀念“熔断先生”肖钢
2016-02-25,74,9.700000,4,证监会回复：未获取关于熔断的4861条具体反馈意见和建议
